date,temperature
2023-07-01T19:00:00,0.03
2023-07-01T20:00:00,0.01
2023-07-01T21:00:00,0
2023-07-01T22:00:00,0
2023-07-01T23:00:00,0
2023-07-02T00:00:00,0
2023-07-02T01:00:00,0
2023-07-02T02:00:00,0
2023-07-02T03:00:00,0
2023-07-02T04:00:00,0
2023-07-02T05:00:00,0.01
2023-07-02T06:00:00,0.04
2023-07-02T07:00:00,0.09
2023-07-02T08:00:00,0.16
2023-07-02T09:00:00,0.25
2023-07-02T10:00:00,0.14
2023-07-02T11:00:00,0.46
2023-07-02T12:00:00,0.51
2023-07-02T13:00:00,0.75
2023-07-02T14:00:00,0.55
2023-07-02T15:00:00,0.43
2023-07-02T16:00:00,0.16
2023-07-02T17:00:00,0.11
2023-07-02T18:00:00,0.07
2023-07-02T19:00:00,0.05
2023-07-02T20:00:00,0.02
2023-07-02T21:00:00,0.01
2023-07-02T22:00:00,0
2023-07-02T23:00:00,0
2023-07-03T00:00:00,0
2023-07-03T01:00:00,0
2023-07-03T02:00:00,0
2023-07-03T03:00:00,0
2023-07-03T04:00:00,0
2023-07-03T05:00:00,0
2023-07-03T06:00:00,0.04
2023-07-03T07:00:00,0.1
2023-07-03T08:00:00,0.01
2023-07-03T09:00:00,0.22
2023-07-03T10:00:00,0.44
2023-07-03T11:00:00,0.57
2023-07-03T12:00:00,0.55
2023-07-03T13:00:00,0.31
2023-07-03T14:00:00,0.36
2023-07-03T20:00:00,0.88
2023-07-03T21:00:00,0.01
2023-07-03T22:00:00,0
2023-07-03T23:00:00,0
2023-07-04T00:00:00,0
2023-07-04T01:00:00,0
2023-07-04T02:00:00,0
2023-07-04T03:00:00,0
2023-07-04T08:00:00,0.27
2023-07-04T09:00:00,0.21
2023-07-04T10:00:00,0.39
2023-07-04T11:00:00,0.66
2023-07-04T12:00:00,0.67
2023-07-04T13:00:00,0.17
2023-07-04T14:00:00,0.57
2023-07-04T15:00:00,0.26
2023-07-04T16:00:00,0.18
2023-07-04T17:00:00,0.13
2023-07-04T18:00:00,0.08
2023-07-04T19:00:00,0.06
2023-07-04T20:00:00,0.02
2023-07-04T21:00:00,0
2023-07-04T22:00:00,0
2023-07-04T23:00:00,0
2023-07-05T00:00:00,0
2023-07-05T01:00:00,0
2023-07-05T02:00:00,0
2023-07-05T03:00:00,0
2023-07-05T04:00:00,0
2023-07-05T05:00:00,0.02
2023-07-05T06:00:00,0.05
2023-07-05T07:00:00,0.13
2023-07-05T08:00:00,0.08
2023-07-05T09:00:00,0.28
2023-07-05T10:00:00,0.01
2023-07-05T11:00:00,0.22
2023-07-05T12:00:00,0.43
2023-07-05T13:00:00,0.02
2023-07-05T14:00:00,0.02
2023-07-05T15:00:00,0.04
2023-07-05T16:00:00,0.22
2023-07-06T12:00:00,1.66
2023-07-06T13:00:00,0.53
2023-07-06T14:00:00,0.02
2023-07-06T15:00:00,0.15
2023-07-06T16:00:00,0.22
2023-07-06T17:00:00,0.08
2023-07-06T18:00:00,0.06
2023-07-06T19:00:00,0.02
2023-07-06T20:00:00,0.02
2023-07-06T21:00:00,0
2023-07-06T22:00:00,0
2023-07-07T00:00:00,0
2023-07-07T01:00:00,0
2023-07-07T02:00:00,0
2023-07-07T03:00:00,0
2023-07-07T04:00:00,0
2023-07-07T05:00:00,0.01
2023-07-07T06:00:00,0.02
2023-07-07T07:00:00,0.05
2023-07-07T08:00:00,0
2023-07-07T13:00:00,1.6
2023-07-07T17:00:00,0.32
2023-07-07T18:00:00,0.04
2023-07-07T19:00:00,0.02
2023-07-07T20:00:00,0.02
2023-07-07T21:00:00,0.02
2023-07-07T22:00:00,0
2023-07-07T23:00:00,0
2023-07-08T01:00:00,0
2023-07-08T02:00:00,0
2023-07-08T03:00:00,0
2023-07-08T04:00:00,0
2023-07-08T05:00:00,0
2023-07-08T06:00:00,0.01
2023-07-08T07:00:00,0.02
2023-07-08T08:00:00,0.06
2023-07-08T09:00:00,0.07
2023-07-08T10:00:00,0.12
2023-07-08T11:00:00,0.5
2023-07-08T12:00:00,0.84
2023-07-08T13:00:00,0.93
2023-07-08T14:00:00,0.48
2023-07-08T15:00:00,0.18
2023-07-08T16:00:00,0.13
2023-07-08T17:00:00,0.1
2023-07-08T18:00:00,0.05
2023-07-08T19:00:00,0.03
2023-07-08T20:00:00,0.03
2023-07-08T21:00:00,0.01
2023-07-08T22:00:00,0
2023-07-08T23:00:00,0
2023-07-09T01:00:00,0
2023-07-09T02:00:00,0
2023-07-09T03:00:00,0
2023-07-09T04:00:00,0
2023-07-09T05:00:00,0
2023-07-09T06:00:00,0.01
2023-07-09T07:00:00,0.03
2023-07-09T08:00:00,0.06
2023-07-09T09:00:00,0.1
2023-07-09T10:00:00,0.13
2023-07-09T11:00:00,0.47
2023-07-09T12:00:00,0.8
2023-07-09T13:00:00,0.9
2023-07-09T14:00:00,0.49
2023-07-09T15:00:00,0.15
2023-07-09T16:00:00,0.19
2023-07-09T17:00:00,0.1
2023-07-09T18:00:00,0.09
2023-07-09T19:00:00,0.08
2023-07-09T20:00:00,0.05
2023-07-09T21:00:00,0.03
2023-07-09T22:00:00,0
2023-07-09T23:00:00,0
2023-07-10T01:00:00,0
2023-07-10T02:00:00,0
2023-07-10T03:00:00,0
2023-07-10T04:00:00,0
2023-07-10T05:00:00,0
2023-07-10T06:00:00,0.01
2023-07-10T07:00:00,0.03
2023-07-10T08:00:00,0.05
2023-07-10T09:00:00,0.06
2023-07-10T10:00:00,0.2
2023-07-10T11:00:00,0
2023-07-10T12:00:00,0.68
2023-07-10T13:00:00,0.77
2023-07-10T14:00:00,0.81
2023-07-10T15:00:00,0
2023-07-10T16:00:00,0.17
2023-07-10T17:00:00,0.17
2023-07-10T18:00:00,0.13
2023-07-10T19:00:00,0.06
2023-07-10T20:00:00,0.05
2023-07-10T21:00:00,0.01
2023-07-10T22:00:00,0.01
2023-07-10T23:00:00,0
2023-07-11T01:00:00,0
2023-07-11T02:00:00,0
2023-07-11T03:00:00,0
2023-07-11T04:00:00,0
2023-07-11T05:00:00,0
2023-07-11T06:00:00,0.01
2023-07-11T07:00:00,0.02
2023-07-11T08:00:00,0.06
2023-07-11T09:00:00,0.09
2023-07-11T10:00:00,0
2023-07-11T11:00:00,0
2023-07-11T12:00:00,0.82
2023-07-11T13:00:00,0.91
2023-07-11T14:00:00,0.91
2023-07-11T15:00:00,0.25
2023-07-11T16:00:00,0.14
2023-07-11T17:00:00,0.18
2023-07-11T18:00:00,0.11
2023-07-11T19:00:00,0.05
2023-07-11T20:00:00,0.03
2023-07-11T21:00:00,0.02
2023-07-11T22:00:00,0
2023-07-11T23:00:00,0
2023-07-12T01:00:00,0
2023-07-12T02:00:00,0
2023-07-12T03:00:00,0
2023-07-12T04:00:00,0
2023-07-12T05:00:00,0
2023-07-12T06:00:00,0.01
2023-07-12T07:00:00,0.03
2023-07-12T08:00:00,0.07
2023-07-12T09:00:00,0.1
2023-07-12T10:00:00,0.25
2023-07-12T11:00:00,0.36
2023-07-12T12:00:00,0.73
2023-07-12T13:00:00,0.61
2023-07-12T14:00:00,0.59
2023-07-12T15:00:00,0.46
2023-07-12T16:00:00,0.43
2023-07-12T17:00:00,0.17
2023-07-12T18:00:00,0.04
2023-07-12T19:00:00,0.05
2023-07-12T20:00:00,0.03
2023-07-12T21:00:00,0.01
2023-07-12T22:00:00,0
2023-07-12T23:00:00,0
2023-07-13T01:00:00,0
2023-07-13T02:00:00,0
2023-07-13T03:00:00,0
2023-07-13T04:00:00,0
2023-07-13T05:00:00,0
2023-07-13T09:00:00,0.05
2023-07-13T10:00:00,0.16
2023-07-13T11:00:00,0.36
2023-07-13T12:00:00,0.75
2023-07-13T13:00:00,0.7
2023-07-13T14:00:00,0.85
2023-07-13T15:00:00,0.76
2023-07-13T16:00:00,0.27
2023-07-13T17:00:00,0.14
2023-07-13T18:00:00,0.07
2023-07-13T19:00:00,0.05
